field_family,schema_type,modern_surface,ownership,evidence_level,capability_or_limit
optical_fiber[].pitch_in_deg,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
optical_fiber[].yaw_in_deg,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].name,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].description,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].virus_name,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].volume_in_ul,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].titer_in_vg_per_ml,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].location,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].hemisphere,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].ap_in_mm,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].ml_in_mm,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].dv_in_mm,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].roll_in_deg,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].pitch_in_deg,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
virus_injection[].yaw_in_deg,number,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
opto_software,string,Animal Optogenetics setup,Animal default; saved day snapshot,All visible fields entered and opto YAML inspected,Complete configuration required when enabled; one source; repeatable fibers/injections; aliases emitted for converter/schema
fs_gui_yamls[].name,string,Daily log: Stimulation protocol dialog,Day; selected epoch subset,All schema fields entered and downloaded,Editable; controlled camera/output/epoch choices; add/remove; five pulse/train parameters available
fs_gui_yamls[].power_in_mW,number,Daily log: Stimulation protocol dialog,Day; selected epoch subset,All schema fields entered and downloaded,Editable; controlled camera/output/epoch choices; add/remove; five pulse/train parameters available
fs_gui_yamls[].epochs[],integer,Daily log: Stimulation protocol dialog,Day; selected epoch subset,All schema fields entered and downloaded,Editable; controlled camera/output/epoch choices; add/remove; five pulse/train parameters available
fs_gui_yamls[].dio_output_name,string,Daily log: Stimulation protocol dialog,Day; selected epoch subset,All schema fields entered and downloaded,Editable; controlled camera/output/epoch choices; add/remove; five pulse/train parameters available
fs_gui_yamls[].camera_id,integer,Daily log: Stimulation protocol dialog,Day; selected epoch subset,All schema fields entered and downloaded,Editable; controlled camera/output/epoch choices; add/remove; five pulse/train parameters available
fs_gui_yamls[].pulseLength,number,Daily log: Stimulation protocol dialog,Day; selected epoch subset,All schema fields entered and downloaded,Editable; controlled camera/output/epoch choices; add/remove; five pulse/train parameters available
fs_gui_yamls[].nPulses,integer,Daily log: Stimulation protocol dialog,Day; selected epoch subset,All schema fields entered and downloaded,Editable; controlled camera/output/epoch choices; add/remove; five pulse/train parameters available
fs_gui_yamls[].sequencePeriod,number,Daily log: Stimulation protocol dialog,Day; selected epoch subset,All schema fields entered and downloaded,Editable; controlled camera/output/epoch choices; add/remove; five pulse/train parameters available
fs_gui_yamls[].nOutputTrains,integer,Daily log: Stimulation protocol dialog,Day; selected epoch subset,All schema fields entered and downloaded,Editable; controlled camera/output/epoch choices; add/remove; five pulse/train parameters available
fs_gui_yamls[].trainInterval,number,Daily log: Stimulation protocol dialog,Day; selected epoch subset,All schema fields entered and downloaded,Editable; controlled camera/output/epoch choices; add/remove; five pulse/train parameters available
